Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Carbon intensity of GDP (kg CO2e per 2021 PPP $),Energy use (kg of oil equivalent per capita),"Fertility rate, total (births per woman)",Fossil fuel energy consumption (% of total),GDP per capita (current US$),Individuals using the Internet (% of population),Land Surface Temperature,"Life expectancy at birth, total (years)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Rule of Law: Estimate,Scientific and technical journal articles
0.8537860183434793,-1.3393777541801422,-0.8328781293242339,1.5034759653536092,-0.4712010894876804,-1.1202824072802067,1.5792787395232106,1.3805946252814647,-2.1459746401324318,1.183284444461525,-1.815235394058643,0.26092962756114263,-1.0861833303227422,1.9157499518318768,1.0439092980624598
-0.2273280043653997,-0.8108301511915177,2.0575075121647104,0.551364537865053,0.025657733836915855,0.8713899665455805,-0.3711720954809902,-1.0096209923863166,0.5834181092552579,-1.692402891287879,0.13078753033424284,0.29726215429475195,-0.6098679043020999,0.05756237431418668,0.5643020743408327
0.8537860183434793,-1.5090379721651095,0.44892875125494774,1.2536873680439875,-1.3232580859067842,0.7036739843237421,1.0598364317367013,-0.21626877714501166,-1.2249938510512899,0.8913204067833655,-0.3780119848963131,0.5291847832776272,-1.0861833303227422,1.6467492936190338,1.5474664045014745
-1.762509916612008,0.9870762615722045,-1.4886410253377957,-1.2154008862873589,1.010871878911755,-1.710714800607409,-1.2028449070500147,-1.0200974322034286,0.6567104634760638,-1.1542904664545193,-0.2403236654966709,-1.232942763302441,1.7634431114851343,-1.6273046605461736,-1.8656364009090427
-1.7706182717823244,1.3192991590768786,-1.2161585275556366,-1.0964745204401127,0.7618470229766007,-1.4495828196856655,-1.11359700398513,-1.1099408403319961,0.04292970803894726,-0.9350931300407614,0.36552093204807234,-1.5157309297123698,1.1086039541070514,-0.8410333776113387,-1.3023139016672909
-0.42463131350977007,0.3452999272286787,2.0727200122043135,0.3215309851201023,-0.7199622699176337,0.9247705372312406,-0.19176834946542518,-0.5051645417987082,-0.5642842062201693,0.49423250662615176,1.4127159969078924,-1.1711774678553046,-0.47620537476545594,-0.4473495688152179,1.9684093165440595
0.8537860183434793,-2.003348617201973,0.035397709117503506,1.9347856142550894,-0.8601175445631967,0.8309938589996753,2.0947049146624446,1.3869439827463812,-1.0147161220783394,1.1422843209147024,-0.9153523885786627,0.43774792433137594,-1.0861833303227422,1.8135914951189593,-0.423621660043083
0.7564857562996804,-0.3646005363633929,0.041817751822178145,-0.16166254311900619,-0.620093449959511,0.5550740172798766,0.125244442291331,-0.6924705870137422,0.25280168097163097,0.22156464897736905,-1.2438898970111618,0.12710482075901366,-0.17762555593575102,0.8578866742212374,-1.0911849666887674
-1.6300734488301702,1.3481253990415456,-1.0099680877979489,-1.1023177914986833,1.342272546988191,-1.5347031891573941,-0.932384453364237,-0.6194529761672035,0.7704929993992731,-0.49408626097619035,0.5246123536364635,-0.7854471423668155,1.3013577686446736,-0.5194086558429635,0.007270248069037865
0.7699996815835414,0.25927671741411634,1.1562510164837683,0.7407406910031639,-0.07482009313379204,1.2169209578757334,0.27842338607666045,0.5520034761098735,0.430127748358712,0.5437506613807631,-0.29081866744158946,-0.03396938109332269,-0.5748948585218225,0.4029077913973661,0.7696351286574588
0.8537860183434793,-0.8783636567548292,0.9096433425862573,1.0709572153295255,-1.619943498278895,0.1518343008841453,0.5183692248732144,-0.26388895813188473,-1.1050288744092802,0.599345011730262,-0.08475432747360744,0.42624262419906633,-1.0861833303227422,0.952221288151751,0.20320265177853264
0.8537860183434793,-0.4571407648960266,-0.46807023345457377,0.36196502242995043,-0.6060490508456561,0.32892795092914,0.540174199094893,0.7996284172416136,-0.6377260495084419,0.5370270954140816,-0.4576890079354485,0.954880888173087,-1.0861833303227422,0.46539886686956045,0.8470871041337713
-1.038163521397059,0.14899427104387777,0.8255123321510781,-0.9823113931996398,1.043801224030448,-0.480436918115602,-0.8127804608548973,-0.50198986306625,0.9906797179871579,-1.3052299794565319,0.09331795038311759,-0.8235962954371058,1.5172285393209013,-1.3042846037592803,-0.4868939357634329
0.683510559766831,0.3805199871470083,1.7156953777916588,0.7455605879222026,-1.454177105724214,1.038023910172439,-0.8852064878739035,-1.0861307498385595,-1.5620383092359842,-0.2242009601886189,0.36170497532641843,0.3463110653851251,-1.0861833303227422,-1.1412795735602792,0.11584849939559783
0.4564766149979662,-0.2515571291768716,-0.5403157117482963,-0.5707801859532479,-0.24362144646527006,-0.40974372991026803,-0.14345395173126602,-0.3718280350354636,0.910606966777685,0.05345278506045529,0.15743400610049232,1.1462321956367645,0.4775840354138653,-0.5844910677781198,-1.4380384910274793
0.6105353632339816,0.24007250379427691,0.24365843280887184,-0.43417136536221324,0.5028766599885133,0.8284691022780559,-0.47036878635918267,-1.0810512638666263,0.3169218131243029,0.35783043355209904,1.199320153895061,0.5243404463798123,1.237790068812058,-0.7477452649447136,-0.8872622333400855
-1.173302774235669,1.1042813252680062,1.8720919580857722,-0.16036120547422114,-0.32175540126446006,1.1397355381005216,-1.1871217865070187,-1.0694954332804785,-0.964797451335002,-0.6645377441315102,-0.08825715050972048,-0.09210142386709819,1.4520862403298425,0.2084578898881935,-1.2970852448615475
-0.27868092044407144,0.653922932321964,0.18400993625094086,-0.5639434831931346,0.13436294054699427,0.6062905107755778,-0.18370935030269292,-0.7496148041979899,0.3965781305029759,-0.16097445387694156,-0.1580854413098418,-1.0761073562356929,0.39604354559110216,-0.5014686341763048,0.3951500131813079
