Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000894164238622928,0.000756602792391744,0.000591960702237522,0.000499369413082019,0.00156818469907334,0.00164854719696274,0.00139324586614436,0.000940765966031934,0.000952553682742989,0.00118016661742848,0.000830123138843101,0.00101791094987176,0.000851208427531912,0.000736138221737037,0.00130541045450105,0.00118823740229048,0.00116366514842477,0.0012016088747575,0.00128080282583172,0.00184439217160606,0.00215822302646318,0.00243031400399234,0.00251454970896737,0.00184676731829103,0.00373232146674204,0.00388012951476976,0.00333324812005796,0.00260883523849379,0.00335880746579488,0.00249259859735073,0.00350250599236074,0.00299223668371317,0.00202016843979342,0.00176021957592569,0.00311858578657175,0.00212936341352684,,,
Africa Eastern and Southern,AFE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,7.23190804750933,6.18331327033964,6.76953778342306,5.35505477208312,3.77067775302189,5.74060476684377,5.25791297618975,4.83737500916037,4.83147368566657,5.11362789326714,5.3542163781935,4.50696965519082,4.61257163257568,4.2252151054622,5.16427499874377,5.70317666731223,5.99560908661179,5.23155803421737,4.90269750683413,3.83454858846661,4.86041180843273,5.15616618417182,5.61060518915638,5.29249684242798,5.54215359386429,6.46086538314518,7.29171293383809,9.21037178770689,12.8964161727675,7.02233528806263,8.04390842512582,9.62757843242785,8.31026364820914,7.87329980975551,6.76661026217416,4.81411253673858,5.26866492111495,5.52060527155445,5.16683441074415,4.48713056705129,4.28489331664271,7.12746903949104,,,
Afghanistan,AFG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,0.503854339896009,0.644590857213565,0.78674435917663,1.24275504257515,1.49305687931238,1.84970079310724,1.96296414414561,1.84074983455878,1.61826599641607,1.69293949702269,1.61107465711173,1.22691425040073,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270365440241896,0.359454023848009,0.386644007799435,0.380988095588488,0.335090541512718,0.315570916067545,0.290260984624591,0.363282086046627,0.3508791651862,0.40105296171908,0.370130823138395,0.243668382509913,0.335934934646957,,,
Africa Western and Central,AFW,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,7.80695809504215,6.02342500364071,5.14472744580964,6.23941881283536,6.84829414413377,,4.05717028642397,4.86484717880786,4.56384666115625,6.91495606187091,8.55349457521438,6.01080143231425,6.38831920081234,6.25604028360847,8.01948251623641,8.7619492504396,8.64528444391346,8.62604765204212,6.46559227335479,5.95589666985459,10.4507069913582,6.97841873767406,7.09401329825102,6.962330427617,7.15929082931444,12.2351444064129,12.3695814421235,12.1355847267514,9.98734691766083,6.24865205899084,8.27583462164511,10.3827632338446,9.19069443051723,6.83673963263469,5.3233107832369,3.19525869479833,3.22712597799949,4.52212542838845,5.22859463366162,4.60024461258213,3.24751254495709,5.31149980658778,,,
Angola,AGO,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,11.3791955611834,6.38033898926293,15.1858446153804,16.4879076523779,18.7559598975257,27.9085700228084,15.8086831025736,60.9252867245352,55.1887616275109,78.3740572266791,40.9716371439687,41.7870373926984,34.99524186941,22.566821748115,38.7456332565134,50.0798215564175,35.8583445956771,23.4297579582347,20.0451296313159,24.7529760770612,34.12711865253,33.8049427763479,39.8714637534371,49.1584585844471,26.2264883639634,33.1201403646739,32.7769325409916,29.4253958885424,24.7241257283763,18.585126985335,10.9509823897879,17.0851746969861,21.6657819099463,26.6126712023893,24.0727401150351,16.463535823985,23.2696829218233,,,
Albania,ALB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,6.36153934861959,6.01593499407022,3.65928274643055,4.30997039061041,5.41483887198096,5.66008764868236,5.54585541952003,6.8156132763055,9.43113501456448,1.86960641013414,1.0371380389256,0.753269546254241,0.69031390793308,0.640849820364364,0.202680975020352,0.231956038478288,0.467306058409256,0.286159549662925,0.296077331522001,0.31290023717586,0.365360428036818,0.449098144806405,0.533187132642172,0.842153630500428,0.781657640336634,0.492035356049145,0.773707710841348,1.65290936202498,1.96358695064507,2.22454159632208,2.43604042469054,1.23234511900084,0.726663830243968,0.891974837904561,1.063452760622,1.07561733330774,0.498447752914955,0.801166730169078,,,
Andorra,AND,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,27.5148986768726,20.2534284238967,11.3106814995845,9.75104429427535,9.65711563244928,8.28913428777793,5.41662392637446,6.87562661386771,5.76631042972568,7.85042568421895,8.09691448890018,8.43636319873843,8.20919357332116,8.14708508525815,8.31042108277714,7.92227967338995,9.1759648456491,7.86169900314273,5.53840167227502,7.05360170894548,9.76574931582723,7.94618989381296,7.69273189445163,9.0555830517803,10.7208587566811,12.8230549824843,12.9342324507013,11.8491567085179,13.5548787327769,8.62961656202006,9.88706247457474,12.7476722510358,12.3489823546882,11.3017143869022,10.2000090938616,6.24592773392933,5.40643315126965,6.46592925256008,8.23844844676535,7.27823503224558,4.62836006512668,,,,
United Arab Emirates,ARE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81386974864871,3.4952672045477,3.2863520603029,4.55378873943367,5.51618528640763,5.93871727193899,6.98402671624795,6.21195882054223,7.13298386990678,4.73600597763597,6.03038745311096,7.91555892095429,7.72011724319281,7.78810680888704,6.80431978177722,4.14001623777128,3.6282305081249,4.30081543701219,5.47309455348677,5.15845021865094,3.41351732252659,,,,
Argentina,ARG,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,,,,,,,,,,,0.156466926470042,0.246262253463452,0.295154433851194,0.344996580639414,1.29592859513148,1.60501389008443,1.80997172019079,1.50714562058538,1.72131177856291,4.01531102433202,4.74763304348082,4.05755408832549,2.35893347621652,2.53008169379258,3.21531288860755,2.63722420210492,0.883082381271805,1.32637365634705,1.01747776226226,2.68430779488914,2.0754461606463,0.852899869380546,0.837517546897991,0.834278511531039,0.818997094703854,1.02773944279406,1.29568283678905,1.179833843448,0.654761052154376,1.14016378346391,1.96286045775224,1.59210894580611,4.71143595898171,3.81013615187852,3.92464743905894,4.87655606235618,4.76929043549582,3.93419180078864,4.08991701600495,2.51931091829393,2.5740086921071,3.11822224026598,2.92724755737546,2.53736885423385,2.36142974967484,0.841522144663773,0.662926224788667,0.748123435238101,1.56382369743731,1.66722275063071,0.979578858056912,2.05199483255121,,,
