Indicator Code: CG0010
"Indicator Name: Communicable, maternal, perinatal and nutritional conditions"
Export date: 7/24/2025 3:33:02 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07.1, U07.2, U09.9, U10.9"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,2006,Female,Age_all,[All],184.00000000,2.38403732,12.83194457,12.28133058,
EU,Europe,ALB,Albania,2007,All,Age_all,[All],381.00000000,2.62252203,13.66302980,12.82819212,
EU,Europe,ALB,Albania,2007,Male,Age_all,[All],228.00000000,2.82178218,17.16617261,15.36783727,
EU,Europe,ALB,Albania,2007,Female,Age_all,[All],153.00000000,2.37282878,10.26830040,10.29330538,
EU,Europe,ALB,Albania,2008,All,Age_all,[All],303.00000000,1.87697454,11.57608299,10.28052604,
EU,Europe,ALB,Albania,2008,Male,Age_all,[All],191.00000000,2.11681259,15.17684183,12.96964898,
EU,Europe,ALB,Albania,2008,Female,Age_all,[All],112.00000000,1.57303371,8.30500199,7.59501740,
EU,Europe,ALB,Albania,2009,All,Age_all,[All],229.00000000,1.46213766,8.83938830,7.82231526,
EU,Europe,ALB,Albania,2009,Male,Age_all,[All],129.00000000,1.51319648,10.08259035,8.81425094,
EU,Europe,ALB,Albania,2009,Female,Age_all,[All],100.00000000,1.40114894,7.94120362,6.83068041,
EU,Europe,ALB,Albania,2010,All,Age_all,[All],181.00000000,1.49106187,6.86449748,6.21346372,
EU,Europe,ALB,Albania,2010,Male,Age_all,[All],98.00000000,1.49595482,7.81438556,6.72307648,
EU,Europe,ALB,Albania,2010,Female,Age_all,[All],83.00000000,1.48532570,6.01432202,5.70304453,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,All,Age_all,[All],204.00000000,40.55666004,349.56141377,364.28571429,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Male,Age_all,[All],103.00000000,45.37444934,419.05855517,394.63601533,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1961,Female,Age_all,[All],101.00000000,36.59420290,307.82316787,337.79264214,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,All,Age_all,[All],143.00000000,35.30864198,281.67141377,246.55172414,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Male,Age_all,[All],71.00000000,40.11299435,255.96713638,261.99261993,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1962,Female,Age_all,[All],72.00000000,31.57894737,294.25126265,233.00970874,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,All,Age_all,[All],234.00000000,40.76655052,324.72763298,383.60655738,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Male,Age_all,[All],113.00000000,43.96887160,365.95234838,396.49122807,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age_all,[All],121.00000000,38.17034700,307.68218244,372.30769231,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,All,Age_all,[All],165.00000000,35.25641026,244.06706969,275.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Male,Age_all,[All],82.00000000,40.00000000,301.65817861,292.85714286,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age_all,[All],83.00000000,31.55893536,211.25091893,259.37500000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,All,Age_all,[All],133.00000000,27.03252033,191.10360772,221.66666667,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Male,Age_all,[All],69.00000000,30.00000000,200.81243380,246.42857143,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Female,Age_all,[All],64.00000000,24.42748092,182.80270315,200.00000000,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,All,Age_all,[All],85.00000000,20.73170732,136.47740701,134.92063492,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Male,Age_all,[All],41.00000000,21.92513369,197.87643609,139.45578231,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Female,Age_all,[All],44.00000000,19.73094170,115.70760015,130.95238095,
